Classification Name,Classification Code,Country Name,Country Code,Time,Time Code,Cost of an energy sufficient diet in PPP dollars [CoCA_PPP],Cost of a nutrient adequate diet in PPP dollars [CoNA_PPP],Cost of a healthy diet in PPP dollars [CoHD_PPP],Cost of fruits in PPP dollars [CoHD_f_PPP],Cost of vegetables in PPP dollars [CoHD_v_PPP],Cost of starchy staples in PPP dollars [CoHD_ss_PPP],Cost of animal source foods in PPP dollars [CoHD_asf_PPP],"Cost of legumes, nuts and seeds in PPP dollars [CoHD_lns_PPP]",Cost of fats and oils in PPP dollars [CoHD_of_PPP],Cost of an energy sufficient diet in local currency unit [CoCA_LCU],Cost of a nutrient adequate diet in local currency unit [CoNA_LCU],Cost of a healthy diet in local currency unit [CoHD_LCU],Cost of fruits in local currency unit [CoHD_f_LCU],Cost of vegetables in local currency unit [CoHD_v_LCU],Cost of starchy staples in local currency unit [CoHD_ss_LCU],Cost of animal source foods in local currency unit [CoHD_asf_LCU],"Cost of legumes, nuts and seeds in local currency unit [CoHD_lns_LCU]",Cost of fats and oils in local currency unit [CoHD_of_LCU],Cost of a healthy diet relative to the cost of sufficient energy from starchy staples [CoHD_CoCA],Cost share for fruits in a least-cost healthy diet [CoHD_f_prop],Cost share for vegetables in a least-cost healthy diet [CoHD_v_prop],Cost share for starchy staples in a least-cost healthy diet [CoHD_ss_prop],Cost share for animal-sourced foods in a least-cost healthy diet [CoHD_asf_prop],"Cost share for legumes, nuts and seeds in a least-cost healthy diet [CoHD_lns_prop]",Cost share for oils and fats in a least-cost healthy diet [CoHD_of_prop],Cost of fruits relative to the starchy staples in a least-cost healthy diet [CoHD_f_ss],Cost of vegetables relative to the starchy staples in a least-cost healthy diet [CoHD_v_ss],Cost of animal-sourced foods relative to the starchy staples in a least-cost healthy diet [CoHD_asf_ss],"Cost of legumes, nuts and seeds relative to the starchy staples in a least-cost healthy diet [CoHD_lns_ss]",Cost of oils and fats relative to the starchy staples in a least-cost healthy diet [CoHD_of_ss],Affordability of an energy sufficient diet: ratio of cost to the food poverty line [CoCA_pov],Affordability of a nutrient adequate diet: ratio of cost to the food poverty line [CoNA_pov],Affordability of a healthy diet: ratio of cost to the food poverty line [CoHD_pov],Affordability of an energy sufficient diet: ratio of cost to food expenditures [CoCA_fexp],Affordability of a nutrient adequate diet: ratio of cost to food expenditures [CoNA_fexp],Affordability of a healthy diet: ratio of cost to food expenditures [CoHD_fexp],Percent of the population who cannot afford sufficient calories [CoCA_headcount],Percent of the population who cannot afford nutrient adequacy [CoNA_headcount],Percent of the population who cannot afford a healthy diet [CoHD_headcount],Millions of people who cannot afford sufficient calories [CoCA_unafford_n],Millions of people who cannot afford nutrient adequacy [CoNA_unafford_n],Millions of people who cannot afford a healthy diet [CoHD_unafford_n],Population [Pop]
Food Prices for Nutrition 4.0,FPN 4.0,Albania,ALB,2017,YR2017,..,..,3.04,..,..,..,..,..,..,..,..,160.41,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.97,..,..,..,..,..,24.3,..,..,0.7,2898242
Food Prices for Nutrition 4.0,FPN 4.0,Albania,ALB,2018,YR2018,..,..,3.13,..,..,..,..,..,..,..,..,164.71,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.99,..,..,..,..,..,17.6,..,..,0.5,2894231
Food Prices for Nutrition 4.0,FPN 4.0,Albania,ALB,2019,YR2019,..,..,3.32,..,..,..,..,..,..,..,..,169.51,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.05,..,..,..,..,..,14.6,..,..,0.4,2885010
Food Prices for Nutrition 4.0,FPN 4.0,Albania,ALB,2020,YR2020,..,..,3.4,..,..,..,..,..,..,..,..,175.63,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.08,..,..,..,..,..,13.9,..,..,0.4,2871954
Food Prices for Nutrition 4.0,FPN 4.0,Albania,ALB,2021,YR2021,0.84,2.59,3.49,0.77,0.6,0.48,1.13,0.41,0.11,43.96,135.53,182.48,40.1,31.2,24.81,59.08,21.58,5.72,4.15,0.22,0.17,0.14,0.32,0.12,0.03,1.62,1.26,2.38,0.87,0.23,0.27,0.82,1.11,0.08,0.24,0.32,3.3,8.9,12.6,0.1,0.3,0.4,2849635
Food Prices for Nutrition 4.0,FPN 4.0,Albania,ALB,2022,YR2022,..,..,4.14,..,..,..,..,..,..,..,..,203.92,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.32,..,..,..,..,..,11.7,..,..,0.3,2827608
Food Prices for Nutrition 4.0,FPN 4.0,Albania,ALB,2023,YR2023,..,..,4.58,..,..,..,..,..,..,..,..,223.17,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.45,..,..,..,..,..,11.4,..,..,0.3,2811655
Food Prices for Nutrition 4.0,FPN 4.0,Albania,ALB,2024,YR2024,..,..,4.77,..,..,..,..,..,..,..,..,230.79,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.51,..,..,..,..,..,10.7,..,..,0.3,2791765
Food Prices for Nutrition 4.0,FPN 4.0,Algeria,DZA,2017,YR2017,..,..,4.09,..,..,..,..,..,..,..,..,155.33,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.3,..,..,..,..,..,18.8,..,..,7.8,41689299
Food Prices for Nutrition 4.0,FPN 4.0,Algeria,DZA,2018,YR2018,..,..,4.16,..,..,..,..,..,..,..,..,160.56,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.32,..,..,..,..,..,18.1,..,..,7.7,42505035
Food Prices for Nutrition 4.0,FPN 4.0,Algeria,DZA,2019,YR2019,..,..,4.18,..,..,..,..,..,..,..,..,159.7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.33,..,..,..,..,..,17.5,..,..,7.6,43294546
Food Prices for Nutrition 4.0,FPN 4.0,Algeria,DZA,2020,YR2020,..,..,4.2,..,..,..,..,..,..,..,..,160.01,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.33,..,..,..,..,..,19.2,..,..,8.5,44042091
Food Prices for Nutrition 4.0,FPN 4.0,Algeria,DZA,2021,YR2021,0.96,2.4,4.47,1.1,0.72,0.56,1.36,0.58,0.15,37.75,94.69,176.08,43.35,28.3,21.89,53.59,23.01,5.94,4.66,0.25,0.16,0.12,0.3,0.13,0.03,1.98,1.29,2.45,1.05,0.27,0.3,0.76,1.42,0.14,0.35,0.66,0,3.9,19.6,0,1.7,8.8,44761099
Food Prices for Nutrition 4.0,FPN 4.0,Algeria,DZA,2022,YR2022,..,..,5.01,..,..,..,..,..,..,..,..,199.7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.59,..,..,..,..,..,20.5,..,..,9.3,45477389
Food Prices for Nutrition 4.0,FPN 4.0,Algeria,DZA,2023,YR2023,..,..,5.41,..,..,..,..,..,..,..,..,226.23,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.72,..,..,..,..,..,21.1,..,..,9.7,46164219
Food Prices for Nutrition 4.0,FPN 4.0,Algeria,DZA,2024,YR2024,..,..,5.53,..,..,..,..,..,..,..,..,233.64,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.75,..,..,..,..,..,20.2,..,..,9.4,46814308
Food Prices for Nutrition 4.0,FPN 4.0,Angola,AGO,2017,YR2017,..,..,3.18,..,..,..,..,..,..,..,..,368.84,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.56,..,..,..,..,..,60.7,..,..,18.4,30234839
Food Prices for Nutrition 4.0,FPN 4.0,Angola,AGO,2018,YR2018,..,..,3.27,..,..,..,..,..,..,..,..,427.54,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.6,..,..,..,..,..,63.2,..,..,19.8,31297155
Food Prices for Nutrition 4.0,FPN 4.0,Angola,AGO,2019,YR2019,..,..,3.43,..,..,..,..,..,..,..,..,498.12,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.68,..,..,..,..,..,64.2,..,..,20.8,32375632
Food Prices for Nutrition 4.0,FPN 4.0,Angola,AGO,2020,YR2020,..,..,3.7,..,..,..,..,..,..,..,..,633.06,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.81,..,..,..,..,..,68.1,..,..,22.8,33451132
Food Prices for Nutrition 4.0,FPN 4.0,Angola,AGO,2021,YR2021,2.24,2.91,4.11,0.75,0.44,1.15,1.15,0.42,0.21,456.01,593.61,836.22,152.35,89.17,233.78,234.41,84.72,41.79,1.83,0.18,0.11,0.28,0.28,0.1,0.05,0.65,0.38,1,0.36,0.18,1.1,1.43,2.01,0.44,0.57,0.8,54.9,61.2,69.8,19,21.1,24.1,34532429
Food Prices for Nutrition 4.0,FPN 4.0,Angola,AGO,2022,YR2022,..,..,4.55,..,..,..,..,..,..,..,..,1041.36,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.23,..,..,..,..,..,70.5,..,..,25.1,35635029
Food Prices for Nutrition 4.0,FPN 4.0,Angola,AGO,2023,YR2023,..,..,4.72,..,..,..,..,..,..,..,..,1178.31,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.31,..,..,..,..,..,70.8,..,..,26,36749906
Food Prices for Nutrition 4.0,FPN 4.0,Angola,AGO,2024,YR2024,..,..,5,..,..,..,..,..,..,..,..,1554.61,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.45,..,..,..,..,..,71.4,..,..,27.1,37885849
Food Prices for Nutrition 4.0,FPN 4.0,Anguilla,AIA,2017,YR2017,..,..,3.44,..,..,..,..,..,..,..,..,9.47,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14425
Food Prices for Nutrition 4.0,FPN 4.0,Anguilla,AIA,2018,YR2018,..,..,3.82,..,..,..,..,..,..,..,..,9.54,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14721
Food Prices for Nutrition 4.0,FPN 4.0,Anguilla,AIA,2019,YR2019,..,..,3.91,..,..,..,..,..,..,..,..,9.79,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14823
Food Prices for Nutrition 4.0,FPN 4.0,Anguilla,AIA,2020,YR2020,..,..,3.97,..,..,..,..,..,..,..,..,9.83,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14843
Food Prices for Nutrition 4.0,FPN 4.0,Anguilla,AIA,2021,YR2021,1.42,2.72,4.14,1.22,1.01,0.75,0.63,0.37,0.15,3.47,6.64,10.09,2.99,2.46,1.84,1.55,0.9,0.37,2.91,0.3,0.24,0.18,0.15,0.09,0.04,1.63,1.34,0.84,0.49,0.2,..,..,..,0.16,0.31,0.47,..,..,..,..,..,..,14475
Food Prices for Nutrition 4.0,FPN 4.0,Anguilla,AIA,2022,YR2022,..,..,4.66,..,..,..,..,..,..,..,..,11.11,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14180
Food Prices for Nutrition 4.0,FPN 4.0,Anguilla,AIA,2023,YR2023,..,..,5.15,..,..,..,..,..,..,..,..,12.18,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14410
Food Prices for Nutrition 4.0,FPN 4.0,Anguilla,AIA,2024,YR2024,..,..,..,..,..,..,..,..,..,..,..,12.49,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14598
Food Prices for Nutrition 4.0,FPN 4.0,Antigua and Barbuda,ATG,2017,YR2017,..,..,3.77,..,..,..,..,..,..,..,..,9.73,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.34,..,..,..,..,..,..,..,..,..,90468
Food Prices for Nutrition 4.0,FPN 4.0,Antigua and Barbuda,ATG,2018,YR2018,..,..,4.24,..,..,..,..,..,..,..,..,10.05,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.38,..,..,..,..,..,..,..,..,..,90926
Food Prices for Nutrition 4.0,FPN 4.0,Antigua and Barbuda,ATG,2019,YR2019,..,..,4.38,..,..,..,..,..,..,..,..,10.2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.39,..,..,..,..,..,..,..,..,..,91364
Food Prices for Nutrition 4.0,FPN 4.0,Antigua and Barbuda,ATG,2020,YR2020,..,..,4.67,..,..,..,..,..,..,..,..,10.42,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.42,..,..,..,..,..,..,..,..,..,91846
Food Prices for Nutrition 4.0,FPN 4.0,Antigua and Barbuda,ATG,2021,YR2021,1.11,3.29,4.92,1.59,1.26,0.67,0.8,0.48,0.13,2.37,7.04,10.54,3.4,2.69,1.43,1.71,1.03,0.28,4.45,0.32,0.26,0.14,0.16,0.1,0.03,2.37,1.88,1.19,0.72,0.19,0.1,0.29,0.44,0.18,0.53,0.8,..,..,..,..,..,..,92349
Food Prices for Nutrition 4.0,FPN 4.0,Antigua and Barbuda,ATG,2022,YR2022,..,..,5.46,..,..,..,..,..,..,..,..,11.65,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.49,..,..,..,..,..,..,..,..,..,92840
Food Prices for Nutrition 4.0,FPN 4.0,Antigua and Barbuda,ATG,2023,YR2023,..,..,5.8,..,..,..,..,..,..,..,..,12.48,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.52,..,..,..,..,..,..,..,..,..,93316
Food Prices for Nutrition 4.0,FPN 4.0,Antigua and Barbuda,ATG,2024,YR2024,..,..,5.9,..,..,..,..,..,..,..,..,13.12,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.53,..,..,..,..,..,..,..,..,..,93772
Food Prices for Nutrition 4.0,FPN 4.0,Argentina,ARG,2017,YR2017,..,..,3.26,..,..,..,..,..,..,..,..,36.09,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.03,..,..,..,..,..,8.5,..,..,3.8,44288894
Food Prices for Nutrition 4.0,FPN 4.0,Argentina,ARG,2018,YR2018,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,44654882
Food Prices for Nutrition 4.0,FPN 4.0,Argentina,ARG,2019,YR2019,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,44973465
Food Prices for Nutrition 4.0,FPN 4.0,Argentina,ARG,2020,YR2020,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,45191965
Food Prices for Nutrition 4.0,FPN 4.0,Argentina,ARG,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,45312281
Food Prices for Nutrition 4.0,FPN 4.0,Argentina,ARG,2022,YR2022,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,45407904
Food Prices for Nutrition 4.0,FPN 4.0,Argentina,ARG,2023,YR2023,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,45538401
Food Prices for Nutrition 4.0,FPN 4.0,Argentina,ARG,2024,YR2024,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,45696159
Food Prices for Nutrition 4.0,FPN 4.0,Armenia,ARM,2017,YR2017,..,..,3.22,..,..,..,..,..,..,..,..,536.78,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.02,..,..,..,..,..,49.4,..,..,1.4,2914963
Food Prices for Nutrition 4.0,FPN 4.0,Armenia,ARM,2018,YR2018,..,..,3.31,..,..,..,..,..,..,..,..,549.33,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.05,..,..,..,..,..,49.7,..,..,1.4,2909965
Food Prices for Nutrition 4.0,FPN 4.0,Armenia,ARM,2019,YR2019,..,..,3.44,..,..,..,..,..,..,..,..,559.37,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.09,..,..,..,..,..,53.3,..,..,1.5,2903972
Food Prices for Nutrition 4.0,FPN 4.0,Armenia,ARM,2020,YR2020,..,..,3.54,..,..,..,..,..,..,..,..,561.12,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.13,..,..,..,..,..,53.9,..,..,1.6,2890892
Food Prices for Nutrition 4.0,FPN 4.0,Armenia,ARM,2021,YR2021,1.04,2.65,3.8,0.92,0.6,0.59,1.04,0.4,0.25,170.34,435.2,624.4,150.59,99.14,96.93,170.36,66,41.37,3.67,0.24,0.16,0.16,0.27,0.11,0.07,1.55,1.02,1.76,0.68,0.43,0.33,0.84,1.21,0.09,0.22,0.32,19.3,39.8,54.4,0.6,1.1,1.6,2870349
Food Prices for Nutrition 4.0,FPN 4.0,Armenia,ARM,2022,YR2022,..,..,4.27,..,..,..,..,..,..,..,..,705.33,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.36,..,..,..,..,..,55.1,..,..,1.6,2880874
Food Prices for Nutrition 4.0,FPN 4.0,Armenia,ARM,2023,YR2023,..,..,4.33,..,..,..,..,..,..,..,..,701.23,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.38,..,..,..,..,..,50.3,..,..,1.5,2943393
Food Prices for Nutrition 4.0,FPN 4.0,Armenia,ARM,2024,YR2024,..,..,4.35,..,..,..,..,..,..,..,..,685.1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.38,..,..,..,..,..,65.1,..,..,1.9,2973840
Food Prices for Nutrition 4.0,FPN 4.0,Aruba,ABW,2017,YR2017,..,..,3.38,..,..,..,..,..,..,..,..,5.14,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.3,..,..,..,..,..,..,..,..,..,105731
Food Prices for Nutrition 4.0,FPN 4.0,Aruba,ABW,2018,YR2018,..,..,3.55,..,..,..,..,..,..,..,..,5.51,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.32,..,..,..,..,..,..,..,..,..,106432
Food Prices for Nutrition 4.0,FPN 4.0,Aruba,ABW,2019,YR2019,..,..,3.79,..,..,..,..,..,..,..,..,6.09,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.34,..,..,..,..,..,..,..,..,..,107076
Food Prices for Nutrition 4.0,FPN 4.0,Aruba,ABW,2020,YR2020,..,..,3.9,..,..,..,..,..,..,..,..,6.06,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.35,..,..,..,..,..,..,..,..,..,107400
Food Prices for Nutrition 4.0,FPN 4.0,Aruba,ABW,2021,YR2021,1,2.67,4,1.09,1,0.56,0.74,0.46,0.14,1.52,4.04,6.05,1.65,1.51,0.85,1.11,0.7,0.22,3.99,0.27,0.25,0.14,0.18,0.12,0.04,1.94,1.77,1.3,0.82,0.26,0.09,0.24,0.36,0.2,0.54,0.8,..,..,..,..,..,..,107558
Food Prices for Nutrition 4.0,FPN 4.0,Aruba,ABW,2022,YR2022,..,..,4.5,..,..,..,..,..,..,..,..,6.66,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.4,..,..,..,..,..,..,..,..,..,107782
Food Prices for Nutrition 4.0,FPN 4.0,Aruba,ABW,2023,YR2023,..,..,4.82,..,..,..,..,..,..,..,..,7.1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.43,..,..,..,..,..,..,..,..,..,107939
Food Prices for Nutrition 4.0,FPN 4.0,Aruba,ABW,2024,YR2024,..,..,5,..,..,..,..,..,..,..,..,7.28,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.45,..,..,..,..,..,..,..,..,..,108066
Food Prices for Nutrition 4.0,FPN 4.0,Australia,AUS,2017,YR2017,..,..,2.33,..,..,..,..,..,..,..,..,3.64,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.21,..,..,..,..,..,2.9,..,..,0.7,24731038
Food Prices for Nutrition 4.0,FPN 4.0,Australia,AUS,2018,YR2018,..,..,2.36,..,..,..,..,..,..,..,..,3.67,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.21,..,..,..,..,..,3.2,..,..,0.8,25119706
Food Prices for Nutrition 4.0,FPN 4.0,Australia,AUS,2019,YR2019,..,..,2.4,..,..,..,..,..,..,..,..,3.76,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.21,..,..,..,..,..,3.2,..,..,0.8,25482714
Food Prices for Nutrition 4.0,FPN 4.0,Australia,AUS,2020,YR2020,..,..,2.51,..,..,..,..,..,..,..,..,3.88,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.22,..,..,..,..,..,3.5,..,..,0.9,25743791
Food Prices for Nutrition 4.0,FPN 4.0,Australia,AUS,2021,YR2021,0.43,1.8,2.61,0.78,0.73,0.25,0.5,0.27,0.09,0.64,2.7,3.93,1.18,1.09,0.38,0.75,0.4,0.13,6.14,0.3,0.28,0.1,0.19,0.1,0.03,3.08,2.86,1.95,1.06,0.33,0.04,0.16,0.23,0.06,0.26,0.37,2.5,3,3.2,0.6,0.8,0.8,25956417
Food Prices for Nutrition 4.0,FPN 4.0,Australia,AUS,2022,YR2022,..,..,2.88,..,..,..,..,..,..,..,..,4.18,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.26,..,..,..,..,..,3.2,..,..,0.8,26200984
Food Prices for Nutrition 4.0,FPN 4.0,Australia,AUS,2023,YR2023,..,..,3.1,..,..,..,..,..,..,..,..,4.46,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.28,..,..,..,..,..,3.2,..,..,0.9,26451124
Food Prices for Nutrition 4.0,FPN 4.0,Australia,AUS,2024,YR2024,..,..,3.2,..,..,..,..,..,..,..,..,4.61,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.29,..,..,..,..,..,3.2,..,..,0.9,26713205
Food Prices for Nutrition 4.0,FPN 4.0,Austria,AUT,2017,YR2017,..,..,2.06,..,..,..,..,..,..,..,..,1.72,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.18,..,..,..,..,..,2.5,..,..,0.2,8798778
Food Prices for Nutrition 4.0,FPN 4.0,Austria,AUT,2018,YR2018,..,..,2.11,..,..,..,..,..,..,..,..,1.75,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.19,..,..,..,..,..,2.3,..,..,0.2,8841650
Food Prices for Nutrition 4.0,FPN 4.0,Austria,AUT,2019,YR2019,..,..,2.19,..,..,..,..,..,..,..,..,1.77,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.2,..,..,..,..,..,2.5,..,..,0.2,8880876
Food Prices for Nutrition 4.0,FPN 4.0,Austria,AUT,2020,YR2020,..,..,2.31,..,..,..,..,..,..,..,..,1.81,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.21,..,..,..,..,..,2.5,..,..,0.2,8921405
Food Prices for Nutrition 4.0,FPN 4.0,Austria,AUT,2021,YR2021,0.38,1.68,2.42,0.72,0.73,0.27,0.55,0.1,0.06,0.29,1.26,1.82,0.54,0.55,0.2,0.41,0.08,0.05,6.31,0.3,0.3,0.11,0.23,0.04,0.03,2.65,2.68,2.01,0.38,0.22,0.03,0.15,0.22,0.05,0.22,0.32,2.6,2.9,2.9,0.2,0.3,0.3,8967057
Food Prices for Nutrition 4.0,FPN 4.0,Austria,AUT,2022,YR2022,..,..,2.75,..,..,..,..,..,..,..,..,2.02,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.25,..,..,..,..,..,2.9,..,..,0.3,9064677
Food Prices for Nutrition 4.0,FPN 4.0,Austria,AUT,2023,YR2023,..,..,2.91,..,..,..,..,..,..,..,..,2.24,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.26,..,..,..,..,..,2.9,..,..,0.3,9130429
Food Prices for Nutrition 4.0,FPN 4.0,Austria,AUT,2024,YR2024,..,..,2.99,..,..,..,..,..,..,..,..,2.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.27,..,..,..,..,..,2.9,..,..,0.3,9120813
Food Prices for Nutrition 4.0,FPN 4.0,Azerbaijan,AZE,2017,YR2017,..,..,2.9,..,..,..,..,..,..,..,..,1.4,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.92,..,..,..,..,..,0.8,..,..,0.1,9968510
Food Prices for Nutrition 4.0,FPN 4.0,Azerbaijan,AZE,2018,YR2018,..,..,2.95,..,..,..,..,..,..,..,..,1.42,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.94,..,..,..,..,..,0.7,..,..,0.1,10039784
Food Prices for Nutrition 4.0,FPN 4.0,Azerbaijan,AZE,2019,YR2019,..,..,3.1,..,..,..,..,..,..,..,..,1.47,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.98,..,..,..,..,..,0.7,..,..,0.1,10110475
Food Prices for Nutrition 4.0,FPN 4.0,Azerbaijan,AZE,2020,YR2020,..,..,3.28,..,..,..,..,..,..,..,..,1.54,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.04,..,..,..,..,..,1.4,..,..,0.1,10181730
Food Prices for Nutrition 4.0,FPN 4.0,Azerbaijan,AZE,2021,YR2021,0.98,2.43,3.45,0.66,0.46,0.68,1.09,0.37,0.19,0.47,1.17,1.66,0.32,0.22,0.33,0.53,0.18,0.09,3.52,0.19,0.13,0.2,0.32,0.11,0.05,0.97,0.68,1.6,0.54,0.27,0.31,0.77,1.09,0.1,0.25,0.36,0,0.2,0.8,0,0,0.1,10234371
Food Prices for Nutrition 4.0,FPN 4.0,Azerbaijan,AZE,2022,YR2022,..,..,3.92,..,..,..,..,..,..,..,..,2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.25,..,..,..,..,..,0.7,..,..,0.1,10295304
